term,#messages,#instances
"https://t.co/1wrj…",2,2
"that’s",2,2
"history",2,2
"#tefdatac…",2,2
"#reproduction",2,2
"data”",2,2
"cooooooollll",2,2
"weeks",2,2
"viewing",2,2
"beauty",2,2
"gallagher’s",2,2
"signed",2,2
"datameer",2,2
"corporate",2,2
"@scottllove",2,2
"what’",2,2
"@justpeachie05",2,2
"@austinkleon",2,2
"supporting",2,2
"guide☞",2,2
"gang",2,2
"#freakconomics",2,2
"dates",2,2
"whitepaper",2,2
"https://t.co/2lpfeiym9s#data",2,2
"@barrett_jackson",2,2
"gyan",2,2
"buddies",2,2
"@dataschooluk",2,2
"standard",2,2
"expected",2,2
"@kirkdborne…",2,2
"https://t.co/2urzhralyq",2,2
"slated",2,2
"eliminate",2,2
"bigger",2,2
"time!insights",2,2
"analysts",2,2
"t-shirts",2,2
"#graphics",2,2
"@sofreemejack",2,2
"wishing",2,2
"unable",2,2
"@delhimetro_rail",2,2
"@sqlhondo",2,2
"@p16plus",2,2
"@buckychachi",2,2
"angular",2,4
"@__exploringdata",2,2
"#datasuperhero",2,2
"@patrickvdh",2,2
"@lovelyticsdata",2,2
"waffles",2,2
"@infolabnl",2,2
"talent",2,2
"added/deleted",2,2
"soccer",2,2
"#census",2,2
"calculations",2,2
"@innovatemoore",2,2
"blicker",2,2
"70mpg",2,2
"worked",2,2
"upcoming",2,2
"enormous",2,2
"currency",2,2
"@mapsoverlord",2,2
"candid",2,2
"#yorkshiremarathon",2,2
"#tableaumobile",2,2
"leads",2,2
"jazz",2,2
"income☞",2,2
"sale",2,2
"learnt",2,2
"indiegogo",2,2
"research☞",2,2
"makers",2,2
"rate",2,2
"https://t.co/nwnpzt2lwl…",2,2
"https://t.co/jkqniasyq7",2,2
"mandalay…",2,2
"pairs",2,2
"https://t.co/ymbly1nhwc",2,2
"https://t.co/uc5mw8rq9y",2,2
"promise",2,2
"https://t.co/go8soig7xy",2,2
"https://t.co/e1jjguqgqs",2,2
"https://t.co/oardmoezmy",2,2
"massive",2,2
"hungry",2,2
"right...i",2,2
"parts",2,2
"https://t.co/crrmkhgzdh",2,2
"https://t.co/64jev0q1j2",2,2
"pooja",2,2
"passive",2,2
"matter",2,2
"literally",2,2
"kickoff",2,2
"https://t.co/6eoikqwwbr",2,2
"rocked",2,2
"https://t.co/yyu9pyhw4z#data",2,2
"https://t.co/w0ea3v45cf",2,2
"https://t.co/usf5ryfy8u",2,2
"rocky",2,2
"one;meanwhile",2,2
"peers...specifically",2,2
"https://t.co/iq3fypgp9z",2,2
"https://t.co/oo0nhaoe2i",2,2
"opener",2,2
"merci",2,2
"https://t.co/bq1llg84xs",2,2
"https://t.co/tnct6hpwbo",2,2
"relieve",2,2
"https://t.co/xvb1doakfw",2,2
"rubber",2,2
"https://t.co/tqphaqyn9o",2,2
"queen",2,2
"https://t.co/nmo0p9jzxc#data",2,2
"https://t.co/hmlu1unnxh",2,2
"https://t.co/wlkkt6c1ek",2,2
"report",2,2
"r&amp;s",2,2
"@markedtech",2,2
"@alation",2,2
"strong#data17",2,2
"freakanomics",2,2
"@matt_hoov",2,2
"career",2,2
"tells",2,2
"@alileo84",2,2
"#data+women",2,2
"@amazon",2,2
"#ensw",2,2
"boxing",2,2
"vendors",2,2
"bark",2,2
"text☞",2,2
"#data17...food",2,2
"codes",2,2
"via…",2,2
"tribe",2,2
"argentina",2,2
"that…",2,2
"album",2,2
"111.#meetic",2,2
"felt",2,2
"collab",2,2
"#thehighroller",2,2
"#retirezmoiphotoshop",2,2
"#makered",2,2
"yesung",2,2
"whata",2,2
"began",2,2
"simon",2,2
"#dataartist",2,2
"date",2,2
"@mydral_com",2,2
"@katvaudt",2,2
"@getveera",2,2
"turbocharge",2,2
"horizon",2,2
"gate",2,2
"#savesnowleopards",2,2
"whopping",2,2
"budda",2,2
"https://t.co/2pony76fbx",2,2
"absolute",2,2
"hacky",2,4
"gearson",2,2
"finn",2,2
"expect",2,2
"character",2,2
"vizzed",2,2
"bethany",2,2
"accepted",2,2
"22-25",2,2
"experiences",2,2
"#goblue",2,2
"#datanoodles",2,2
"compare",2,2
"accountable",2,2
"#vegastro…",2,2
"donation",2,2
"crap...#data17",2,2
"automatically",2,2
"gerson",2,2
"empowering",2,2
"#datasciencehttps://t.co/ssrmhfhdyj",2,2
"degree",2,2
"women",2,2
"buttons",2,2
"actual",2,2
"#viztooltips",2,2
"extraordinaire",2,2
"crowdfunding",2,2
"chose",2,2
"walker",2,2
"@infoworksio",2,2
"blessed",2,2
"@centric",2,2
"#welovesnack",2,2
"forever",2,2
"#icannotwait",2,2
"#decoration",2,2
"cities",2,2
"campaign",2,2
"topic",2,2
"@channelmix",2,2
"anthem",2,2
"strasbourg",2,2
"@jacobisbell",2,2
"baby",2,2
"anytime",2,2
"@ainsights",2,3
"advice",2,2
"heathrow",2,2
"streaming",2,2
"#yesung",2,2
"frame",2,2
"https://t.co/m4dstsuja2",2,2
"https://t.co/4inalxjmty",2,2
"https://t.co/txsdnpj7qa",2,2
"picks",2,2
"jerks",2,2
"indiana",2,2
"https://t.co/p4ryaaebg5",2,2
"nodexl",2,2
"infinite",2,2
"https://t.co/zqdecsyq…",2,2
"https://t.co/gh8itmaxj3#data",2,2
"https://t.co/f0az5da8xf",2,2
"https://t.co/aqofnn4mma",2,2
"https://t.co/f37d9ohxcf",2,2
"https://t.co/jmq3esjdwu",2,2
"https://t.co/vpipmczwum",2,2
"reunion",2,2
"https://t.co/r8p0ihy4jn",2,2
"plenty",2,2
"number",2,2
"https://t.co/ia2fzvkmrf",2,2
"kali",2,2
"inspire",2,2
"props",2,2
"participant",2,2
"limo",2,2
"https://t.co/xfdhso4nxo#datascience",2,2
"https://t.co/ywap8ffyna",2,2
"referencing",2,2
"killed",2,2
"https://t.co/a14ffl0nyk#data_science",2,2
"https://t.co/wb0x5hz3ug",2,2
"https://t.co/ei98nfstmz",2,2
"label",2,2
"optimizing",2,2
"https://t.co/7i3fo26jze",2,2
"https://t.co/bxmvqibgol#data",2,2
"https://t.co/sask0mcyve",2,2
"phrase",2,2
"conscious",2,2
"@coenterprise",2,2
"aggro",2,2
"here’s",2,2
"free!☞",2,2
"#tbt",2,2
"cars",2,2
"@craigmullins",2,2
"appreciated",2,2
"terrific",2,2
"graphic",2,2
"bargain",2,2
"@danfarmertil",2,2
"speaks",2,2
"#te…",2,2
"#latug",2,2
"aren’t",2,2
"https://t.co/1vuul0ejrj",2,2
"@annujackson…",2,2
"#report",2,2
"beats",2,2
"“five",2,2
"growing",2,2
"files",2,2
"datadating",2,2
"corner",2,2
"therealadamsavage",2,2
"“provide",2,2
"sports",2,2
"#rundata17",2,2
"excelling",2,2
"challenges",2,2
"whirlwind",2,2
"@katelovesux",2,2
"“wow",2,2
"#frontrow",2,2
"#datadev",2,2
"commence",2,2
"@gmishra",2,2
"gear",2,2
"finishing",2,2
"@govtechsg",2,3
"https://t.co/2u6oelzxxx",2,2
"throwing",2,2
"21.yüzyılın",2,2
"#vega…",2,2
"experienced",2,2
"#beyonddraganddrop",2,2
"compar…",2,2
"window",2,2
"@hallabus",2,2
"@davidmpi…",2,2
"tiled",2,2
"systems",2,2
"geniuses",2,2
"compete",2,2
"checking",2,2
"wise",2,2
"ultimat…",2,2
"happened",2,2
"300-101",2,2
"empower",2,2
"dot5",2,2
"@spoton_drtv",2,2
"@ovum",2,2
"activity",2,2
"4:15pm",2,2
"gifs",2,2
"union",2,2
"stockton",2,2
"@strivetogether",2,2
"walked",2,2
"@infosolltd",2,2
"awesomeness",2,2
"@cedric_bescond",2,2
"department",2,2
"@yoyokro",2,2
"crypto",2,2
"workbook",2,2
"camp",2,2
"@irvb",2,2
"blood",2,2
"adroitly",2,2
"faill",2,2
"#collibralife…",2,2
"anymore",2,2
"streamed",2,2
"#wwf",2,2
"share…",2,2
"lyons",2,2
"preview",2,2
"https://t.co/hpxaw4isfs",2,2
"https://t.co/eu10l0ybzj",2,2
"https://t.co/wqico0twam",2,2
"priorities",2,2
"https://t.co/htrgaohgax",2,2
"https://t.co/84rrljikh8",2,2
"savage…",2,2
"saving",2,2
"respect",2,2
"manages",2,2
"lets",2,2
"https://t.co/ave4h9qznu",2,2
"https://t.co/vm…",2,2
"scheduled",2,2
"profiling",2,2
"liam",2,2
"https://t.co/8ngm2ew5ph",2,2
"realize",2,2
"scott",2,2
"https://t.co/rbbpdjobq8",2,2
"podcasting",2,2
"https://t.co/gpxtpgct5s#data",2,2
"humble",2,2
"https://t.co/x7j36poyd2",2,2
"recognition",2,2
"proud…",2,2
"https://t.co/ocahdbbef7",2,2
"maté",2,2
"search",2,2
"kicked",2,2
"hyperspeed",2,2
"punches",2,2
"https://t.co/fqgimmi4bm",2,2
"https://t.co/6p8c8nwyxp",2,2
"rolled",2,2
"purr",2,2
"powder",2,2
"involvement",2,2
"https://t.co/xo2wpys2u9",2,2
"pype",2,2
"lost",2,2
"https://t.co/wdi5baxdww",2,2
"https://t.co/qacqrdv1af",2,2
"https://t.co/hdxpeslup2",2,2
"https://t.co/fxpli3plci",2,2
"https://t.co/zeuhvyjbl3",2,2
"https://t.co/xuyvzjpilz",2,2
"https://t.co/tpeonxyfl9",2,2
"https://t.co/iwmmlvuijf",2,2
"impressed",2,2
"https://t.co/trtvjodyw2",2,2
"https://t.co/lyczuz7bls",2,2
"https://t.co/j0qxgeh9tw",2,2
"https://t.co/g3esx6yykz",2,2
"https://t.co/zjco3cggiz",2,2
"https://t.co/wlcpxnjcwp",2,2
"reply",2,2
"orgs",2,2
"@rad_reza",2,2
"clear",2,2
"a&amp;e",2,2
"#drawing",2,2
"@rdmancini",2,2
"card",2,2
"@empireofthesun",2,2
"badges",2,2
"here…",2,2
"#powerbi…",2,2
"#economy",2,2
"cloud-based",2,2
"@jeweloree…",2,2
"transilvanie#tableau",2,2
"https://t.co/1iodj2edbj",2,2
"grants",2,2
"#tc17…",2,2
"#adtech",2,2
"@exxonmobil",2,2
"gray",2,2
"#tcot",2,2
"#lasvegasstrong",2,2
"dashboarding",2,2
"caught",2,2
"brainstorming",2,2
"@fjmorajr",2,2
"feet",2,2
"@mluttonbi",2,2
"https://t.co/1zttm2cgc8",2,2
"algorithmic",2,2
"hoarded",2,2
"13,571",2,2
"@jubjulien",2,2
"https://t.co/2a44ljpkae",2,2
"“poker",2,2
"sporting",2,2
"#formulae",2,2
"cost",2,2
"@balajined",2,2
"gutted",2,2
"finance",2,2
"#frontiers",2,2
"surprising",2,2
"#datakid",2,2
"zdnet’s",2,2
"@datasciencebs",2,2
"accent",2,2
"@nisa_mara",2,2
"genius",2,2
"#soustitres",2,2
"#gpu",2,2
"donated",2,2
"wireframes",2,2
"@brandibeals",2,2
"happen…",2,2
"#nerd",2,2
"#growth",2,2
"@vtlozano",2,2
"button",2,2
"steps/day",2,2
"snap",2,2
"#viznchill",2,2
"extract",2,2
"#datascientists",2,2
"delicious",2,2
"@srijan#datavisualization",2,2
"@pathitts",2,2
"animate",2,2
"served",2,2
"dreamt",2,2
"choosing",2,2
"walk",2,2
"admin",2,2
"gloves",2,2
"#tableau?ease",2,2
"@youtube",2,2
"crying",2,3
"circular",2,2
"@ironsidegroup",2,2
"@drkoalz",2,2
"90,000",2,2
"#design_concept",2,2
"anya",2,2
"stream",2,2
"としてニューオリンズで開催",2,2
"fourth",2,4
"#photbombed",2,2
"#interworks",2,2
"jamie",2,2
"pick",2,2
"https://t.co/jbxr78ndds",2,2
"https://t.co/qsisxxiiso",2,2
"rapid",2,2
"https://t.co/mbvgf7wvoq",2,2
"https://t.co/kv0ldve0kf",2,2
"https://t.co/zs7mgvusut",2,2
"saves",2,2
"https://t.co/qxirsimzfm",2,2
"notes",2,2
"mond…",2,2
"https://t.co/f2y7t0lbf2#data_science",2,2
"ingrand",2,2
"https://t.co/u9f2vmmpqg",2,2
"lewandog",2,2
"https://t.co/cg0wym7o3z",2,2
"https://t.co/o2vujc7rmq",2,2
"https://t.co/l3jmwwoudf",2,2
"lifetime",2,2
"https://t.co/vqqukd5umw",2,2
"scope",2,2
"podcast",2,2
"nuvi",2,2
"https://t.co/fepy4…",2,2
"recode",2,2
"https://t.co/rd5mnuw5…",2,2
"https://t.co/lbzvaqgukq",2,2
"mourning",2,2
"https://t.co/idrdbua5fv",2,2
"links",2,2
"https://t.co/e97s4hwlu1",2,2
"https://t.co/xdxelcv0pv",2,2
"recording",2,2
"https://t.co/pn7zbtx5xk",2,2
"https://t.co/fjg2bt6hv5",2,2
"https://t.co/eapzccegim",2,2
"https://t.co/rjasmjc…",2,2
"kiewit",2,2
"https://t.co/yydp7q1krl",2,2
"kinds",2,2
"potential",2,2
"knock",2,2
"iiirrroonnnvviizzzz",2,2
"https://t.co/xny59bsns2",2,2
"https://t.co/9xyymumwxv",2,2
"https://t.co/kckiiy2ocp",2,2
"https://t.co/zcg6yrldjz",2,2
"operational",2,2
"https://t.co/iu785ncshs",2,2
"https://t.co/wfqpbdgtz8",2,2
"optimization)☞",2,2
"middle",2,2
"rumble",2,2
"https://t.co/izsndig7o4#data_science",2,2
"in-memory",2,2
"presents",2,2
"https://t.co/kmwuoembgb",2,2
"@jamienotweet",2,2
"bois",2,2
"çekici",2,2
"frankly",2,2
"#tableaushirts",2,2
"carbon",2,2
"@jeffbitz",2,2
"bookmarks",2,2
"https://t.co/1e0hhtrist",2,2
"agencies",2,2
"#dat",2,2
"cloud",2,2
"band",2,2
"terms",2,2
"grand",2,2
"vegas...who",2,2
"@andrewpick_til",2,2
"ahhhh",2,2
"succeed”",2,2
"shout",2,2
"@rufraleigh1",2,2
"cocacola",2,2
"yay—looking",2,2
"#tech",2,2
"events…",2,2
"#liewithstats",2,2
"#data17❤️💛💚💙💜🖤",2,2
"differentiator",2,2
"@samriley",2,2
"arrival",2,2
"#analytic",2,2
"core",2,2
"@gartnerjs",2,2
"trump",2,2
"@datahasbyte",2,2
"“plans",2,2
"#totoro",2,2
"#manufacturing",2,2
"aspect",2,2
"#udemy",2,2
"edge",2,2
"#datadashboards",2,2
"#atug",2,2
"davinci",2,2
"count",2,2
"who…",2,2
"@benjnmoss",2,2
"alteryx",2,2
"distill",2,2
"zdnet",2,3
"amigos",2,2
"2017終了。来年tableau",2,2
"fit5093",2,2
"#sjreturns",2,2
"@sirajma",2,2
"bumper",2,2
"tickets",2,2
"#sonsofhierarchies",2,2
"embraced",2,2
"donate",2,2
"@decisivedata",2,2
"@bouchon_bistro",2,2
"https://t.co/04zxfo1iip",2,2
"flow:…",2,2
"tableausoftware",2,2
"active",2,2
"#datascientist…",2,2
"狂気海溝",2,2
"animat…",2,2
"#superjunior",2,2
"eye-tracking",2,2
"dreams",2,2
"concert",2,2
"woot",2,3
"calcs",2,2
"blender",2,2
"university",2,2
"tonybaer",2,2
"he\'d",2,2
"#onceuponaroada",2,2
"#datawrangling",2,2
"@taawwmm",2,2
"work…",2,2
"answer",2,2
"https://t.co/0sjtrpvhap",2,2
"tattoo",2,2
"@acheronanalytic",2,2
"health",2,2
"#tableauambassadors",2,2
"#peinture…",2,2
"#collect",2,2
"tc2017",2,2
"#phone",2,2
"clean",2,2
"raises",2,2
"https://t.co/p2lsocwaaz",2,2
"https://t.co/ma9ywgc4zw",2,2
"https://t.co/ksqnrjwbld#data",2,2
"https://t.co/ggl67tidhj",2,2
"saver",2,2
"https://t.co/u6xubda6zt",2,2
"manager",2,2
"https://t.co/yjmh5gr7zu",2,2
"https://t.co/at3co0uwdf",2,2
"https://t.co/nyib0lahgm",2,2
"nouvelle",2,2
"https://t.co/i2eoracyat",2,2
"realising",2,2
"nurses",2,2
"morning,#data17",2,2
"https://t.co/jq5pabo5jg",2,2
"katie",2,2
"protein",2,2
"participation",2,2
"mountains",2,2
"linkedin",2,2
"passed",2,2
"odoo?#tableau",2,2
"moving",2,2
"https://t.co/ifh326ykkg",2,2
"listening",2,2
"keyword",2,2
"https://t.co/t99yjshgrm",2,2
"https://t.co/rj9swf2qwy",2,2
"https://t.co/jwsztnqlg7",2,2
"lives",2,2
"https://t.co/yxyirw8y5y",2,2
"https://t.co/urxetvdcaz",2,2
"rocks",2,2
"meet&amp;greet",2,2
"https://t.co/eeayjd3u32",2,2
"https://t.co/w9akydmmof",2,2
"knowing",2,2
"rose",2,2
"https://t.co/3nsguecftp",2,2
"release",2,2
"pytorch☞",2,2
"https://t.co/q9wdtvigle",2,2
"loupe",2,2
"https://t.co/xu6gzi8tii",2,2
"https://t.co/tojouw2twl",2,2
"https://t.co/ry25zjince",2,2
"miles",2,2
"https://t.co/aelfvkinut",2,2
"newest",2,2
"❓📈📊📉",2,2
"designwiththeuserinmind",2,2
"#420",2,2
"@jeff_stgermaine",2,2
"@emmatrifari",2,2
"freakonomics!#data17",2,2
"#powerb…",2,2
"#dashboard",2,2
"write-up",2,2
"agree",2,2
"stunning",2,2
"spark",2,2
"establishment",2,2
"🙏#data17",2,2
"@metricinsights",2,2
"apps",2,2
"testers☞",2,2
"gratitude",2,2
"@rudberg",2,2
"cats",2,2
"veri",2,2
"@filmastroianni",2,2
"suffering",2,2
"difference",2,2
"@tompetty",2,2
"week:…",2,2
"victory",2,2
"tricky",2,2
"spent",2,2
"datablick",2,2
"yellow",2,2
"@jshb32",2,2
"superb",2,2
"guess",2,2
"sponsor",2,2
"gambling”",2,2
"#flights25",2,2
"#data18…",2,2
"disappointed",2,2
"@karenakens",2,2
"british",2,2
"simulink",2,2
"#datacommunity",2,2
"@sethjwalters",2,2
"brush",2,2
"belt",2,2
"#meetup’s",2,2
"#gameofthrones…",2,2
"@uwsn",2,2
"@shinyaa31",2,2
"wide",2,2
"@kiddojns",2,2
"best…",2,2
"amidst",2,2
"first-timer",2,2
"@ventanaresearch",2,2
"@simpso1ja",2,2
"charm",2,2
"switching",2,2
"#software",2,2
"experts",2,2
"embedded",2,2
"bilimciliği",2,2
"#vivalasvegas",2,2
"#bord",2,2
"@sparvathaneni",2,2
"@hristozovae",2,2
"@brittanya187187",2,2
"cred",2,2
"comprehensive",2,2
"chicken",2,2
"@lindy_ryan",2,2
"https://t.co/0h…",2,2
"followers",2,2
"#summit2017",2,2
"encouraging",2,2
"deloitte",2,2
"woooo—see",2,2
"@lufthansa",2,2
"announced",2,2
"#hyperblow",2,2
"crush",2,2
"walmart",2,2
"headphones",2,2
"setup",2,2
"#peinture",2,2
"fame",2,2
"#phltug",2,2
"entered",2,2
"congratulati…",2,2
"@jakesviz",2,2
"boffin",2,2
"safari",2,2
"request",2,2
"https://t.co/qrshqbuh1y",2,2
"mistakes",2,2
"https://t.co/jct80iqeiz",2,2
"industry",2,2
"https://t.co/am94zceksl",2,2
"https://t.co/wrzsit75nx#datascience",2,2
"residual",2,2
"ranges",2,2
"https://t.co/ns7mtiskzq",2,2
"https://t.co/jgmcvzom1s",2,2
"infoburst",2,2
"https://t.co/wuogkcmx5q",2,2
"plane...👀✈️",2,2
"infrastructure",2,2
"https://t.co/asfxeha3m2",2,2
"professor",2,2
"mongodb",2,2
"leveraging",2,2
"https://t.co/zya6rvdghp",2,2
"https://t.co/yksoamd0mt#datascience",2,2
"playlists:…",2,2
"https://t.co/o19ldpqkhz",2,2
"https://t.co/jnkuodk1yj",2,2
"marc",2,2
"nuriel…",2,2
"https://t.co/l80vefe1cn",2,2
"https://t.co/8tbeosbxm6",2,2
"https://t.co/ob9grtbq5z",2,2
"participating",2,2
"https://t.co/jsppsqibtn",2,2
"https://t.co/icingvakky",2,2
"record",2,2
"policy",2,2
"https://t.co/odbwytlqvt#data",2,2
"movies",2,2
"seats",2,2
"https://t.co/t7we0c2p5p#datascientist",2,2
"https://t.co/ywtu5cz4bc…",2,2
"https://t.co/6ieujy4uw8",2,2
"https://t.co/9nwzv3z9dj",2,2
"regression-based",2,2
"https://t.co/blrvgwvzzi",2,2
"reinvented",2,2
"looky",2,4
"https://t.co/fubyitza52",2,2
"https://t.co/a3kc0ufyqn",2,2
"operating",2,2
"https://t.co/fwqhlwiaqu",2,2
"https://t.co/wf4apuaoet",2,2
"https://t.co/7azcupyuo7#data",2,2
"https://t.co/ivhdqfdsqy#data",2,2
"it!☞",2,2
"https://t.co/aavrsbwl6z",2,2
"ruler",2,2
"orange",2,2
"https://t.co/xyuaay9eod",2,2
"https://t.co/ov8haijgnj",2,2
"organizations",2,2
"mini",2,2
"layers",2,2
"https://t.co/eqpdbmjjtc",2,2
"height",1,1
"stressed",1,1
"googled",1,1
"framework",1,1
"fangirls",1,1
"#pinkoctober",1,1
"entrepreneurship",1,1
"#iphone",1,1
"#dobbyandcharlotte",1,1
"designs",1,1
"#341",1,1
"@ravi_shankar",1,1
"worst",1,1
"watch…",1,1
"usual",1,1
"apache",1,1
"https://t.co/1dp7d3aqhn",1,1
"technically",1,1
"sound",1,1
"=;-d",1,1
"freakonomics",1,1
"#tabros",1,1
"#power…",1,1
"equivalent",1,1
"#itsforourboss",1,1
"#青参道アートフェア",1,1
"#da…https://t.co/ggg9e6c49o",1,1
"dev…",1,1
"@tdstone0722",1,1
"consumed",1,1
"@rei",1,1
"way…",1,1
"@jeth…",1,1
"valley",1,1
"@escalatesnack",1,1
"ball…",1,1
"trainer",1,1
"https://t.co/1h13blrfrt#data",1,1
"tensorflow☞",1,1
"agradecimientos",1,1
"hexbinning",1,1
"stunned",1,1
"‘healthcare",1,1
"gracias",1,1
"shiver",1,1
"#prettyn…",1,1
"#acrylique",1,1
"@tgchip",1,1
"@merz_pharma",1,1
"castle",1,1
"boulder",1,1
"banner",1,1
"trash",1,1
"@cwalter06",1,1
"approximate",1,1
"https://t.co/1np31pzb4j#datascience",1,1
"testers",1,1
"ahead!https://t.co/rbebkejrht",1,1
"highest",1,1
"”...and",1,1
"10:30",1,1
"fro…",1,1
"shot",1,1
"#tc18inphilly",1,1
"featured",1,1
"#python,#tableau",1,1
"#keynotewisdom",1,1
"#esg2017",1,1
"#data17!let",1,1
"#al…",1,1
"dash…",1,1
"contributions",1,1
"coast",1,1
"yass",1,1
"@mikanassociates",1,1
"webcast",1,1
"@johnbrinktx",1,1
"veranda",1,1
"trend",1,1
"@darinbob",1,1
"https://t.co/1tyi6slfdg",1,1
"hire",1,1
"suddenly",1,1
"greatful",1,1
"specifics",1,1
"1030-1130am",1,1
"#rdutug",1,1
"#lh454",1,1
"#data17@tableau",1,1
"diego",1,1
"data-driven",1,1
"convo",1,1
"@sabih_khan1",1,1
"coenterprise)our",1,1
"year!https://t.co/yzresfgqwq",1,1
"c👏l👏u👏t👏c👏h",1,1
"breakdown",1,1
"@forbes",1,1
"@databrainsinc",1,1
"arrange",1,1
"https://t.co/1xnmjspxw2",1,1
"@aps_research",1,1
"hits",1,1
"summary-of-the-week",1,1
"“design",1,1
"#telecoms",1,1
"#resistterror…",1,1
"#ltwnds17fakt",1,1
"#federal",1,1
"#data17https://t.co/b6qkzf7ion",1,1
"#analysis",1,1
"copenhagen",1,1
"@saschamertens1…",1,1
"collar",1,1
"yelling",1,1
"centre",1,1
"weirdo",1,1
"@jschwabish",1,1
"viiiiz",1,1
"troubleshooting",1,1
"https://t.co/288ja1tej1",1,1
"there!#ai",1,1
"alight-sanctioned",1,1
"homework",1,1
"“light”",1,1
"gt;https://t.co/vh5dqqz91e",1,1
"spirits",1,1
"#throwdown",1,1
"#rpa",1,1
"excel☞",1,1
"easier…",1,1
"disappoint",1,1
"#apocalipse",1,1
"datarources",1,1
"@twitter",1,1
"correlation",1,1
"@sdcastle_2016",1,1
"combi…",1,1
"https://t.co/2gonindete",1,1
"thingy",1,1
"@awscloud",1,1
"allotment",1,1
"supposed",1,1
"“that",1,1
"gulp",1,1
"spotted",1,1
"simply",1,1
"#turnitup",1,1
"#sanfrancisco",1,1
"excitement.....#data17",1,1
"#marketingstrategy",1,1
"economist",1,1
"#freddiemercury",1,1
"👇awesome",1,1
"#dataceleb",1,1
"daughter’s",1,1
"coughing",1,1
"yout…",1,1
"who\'d",1,1
"bellagio",1,1
"@datapirata",1,1
"though…",1,1
"@beerbeiiydancer",1,1
"alternative",1,1
"2000-person",1,1
"#uscensus",1,1
"exist",1,1
"#meetup@gmishra",1,1
"#galway",1,1
"#dataheroes",1,1
"#bacon",1,1
"country",1,1
"common?find",1,1
"yvanfornes",1,1
"wicked...not",1,1
"buena",1,1
"viz-sla",1,1
"thrill",1,1
"abstrait",1,1
"stanmer",1,1
"geekiest",1,1
"#vanguard",1,1
"first-time",1,1
"#sfodelays",1,1
"expensify",1,1
"djstipe",1,1
"#berlin…",1,1
"@venividivizi",1,1
"@simoneb",1,1
"zens",1,1
"@niceridemn",1,1
"charlie",1,1
"willingness",1,1
"bump",1,1
"@grayhair_inc",1,1
"https://t.co/2wxjns47mc",1,1
"swings",1,1
"accessories",1,1
"handling",1,1
"sleeping",1,1
"#vegas…",1,1
"#softtouch",1,1
"expertise",1,1
"#myfavzenmaster",1,1
"emails",1,1
"#googleanalytics",1,1
"doggie",1,1
"crafting",1,1
"@numerify",1,1
"cheapest",1,1
"volunteer",1,1
"@heurekasoftware",1,1
"uber",1,1
"auto",1,1
"https://t.co/3aakx0ygzi",1,1
"timing",1,1
"@bobstilwell_tx",1,1
"https://t.co/04gqx3jfz9",1,1
"hangover...slept",1,1
"stayed",1,1
"3:00",1,1
"slowly",1,1
"#visualizenomalaria",1,1
"explosive",1,1
"#ncds",1,1
"#greatnews",1,1
"doodle",1,1
"#booth123",1,1
"@vizshine…",1,1
"@southpointlv",1,1
"complai…",1,1
"@onlineitguru",1,1
"wizard",1,1
"busting",1,1
"@honjyo_nicomi",1,1
"birthday",1,1
"autorun",1,1
"@bridgettmilner",1,1
"https://t.co/0ao…",1,1
"tableau’in",1,1
"actionable",1,1
"#stackhighlight",1,1
"#neworleans",1,1
"enabled",1,1
"#datascientis…",1,1
"#bringbackbuttons",1,1
"delay",1,1
"@wenacho",1,1
"creativity",1,1
"@sqlsentry",1,1
"chick-fil-a",1,1
"@lindabird1104",1,1
"紙が更新されました",1,1
"@idigdata",1,1
"bitter",1,1
"unfollow",1,1
"@c0n…",1,1
"https://t.co/0fwmlyrye7",1,1
"tak…",1,1
"adam…",1,1
"hate",1,1
"snowdash",1,1
"#students",1,1
"extroverted",1,1
"#nosleeptillafterdata17",1,1
"encouragement",1,1
"drawing",1,1
"crooked…",1,1
"@stickermule",1,2
"chips",1,1
"@luciotorre",1,1
"bleau",1,1
"unity",1,1
"@donaldtreehive",1,1
"aweso…",1,1
"@carmensandiego",1,1
"annonce",1,1
"https://t.co/0mqhnplf85#data",1,1
"59,00€",1,1
"sociaux",1,1
"#tab…",1,1
"fabian",1,1
"#offer",1,1
"endoscopy",1,1
"drinking",1,1
"#certified",1,1
"denied",1,1
"crud",1,1
"@peterose_14",1,1
"cigarette",1,1
"@lynmock",1,1
"walks",1,1
"unreal",1,1
"tasks",1,1
"8:30pm",1,1
"#win",1,1
"#partywithyourdata",1,1
"english",1,1
"#ifyourfacedoesnthurtitsnothotenou…",1,1
"#deeplearning",1,1
"depends…",1,1
"@tableau!”",1,1
"@pierrelukas",1,1
"warm",1,1
"tornado",1,1
"@chi2innovations",1,1
"anticipate",1,1
"https://t.co/0v3etumvzj",1,1
"@adambsmith",1,1
"somber",1,1
"#workonwood",1,1
"#tableauconference2017",1,1
"#philly",1,1
"#inspiring",1,1
"#digital",1,1
"#conferencenerds",1,1
"curse",1,1
"@tableaukev",1,1
"congratulat…",1,1
"classic",1,1
"canidé",1,1
"was…",1,1
"@jadalytics…",1,1
"boards",1,1
"✅met",1,1
"https://t.co/ag3smugxrj",1,1
"https://t.co/7t1tslm38h#data_science",1,1
"https://t.co/vbnpgictje",1,1
"sadly",1,1
"https://t.co/4ghiupvsju",1,1
"https://t.co/twd4bim1vf",1,1
"reports",1,1
"https://t.co/sbsfvjihrb",1,1
